t,count
1523480235,179
1523481135,359
1523482035,539
1523482935,719
1523483835,899
1523484735,1079
1523485635,1259
1523486535,1439
1523487435,1619
1523488335,1799
1523489235,1979
1523490135,2159
1523491035,2339
1523491935,2519
1523492835,2699
1523493735,2879
1523494635,3059
1523495535,3239
1523496435,3417
1523497335,3507
1523498235,3597
1523499135,3688
1523500035,3778
1523500935,3868
1523501835,3890
1523502735,3890
1523503635,3890
1523504535,3890
1523505435,3890
1523506335,3890
1523507235,3890
1523508135,3890
1523509035,3890
1523509935,3890
1523510835,3890
1523511735,3892
1523512635,4072
1523513535,4252
1523514435,4432
1523516256,160
