t,count
1523480235,0
1523481135,0
1523482035,0
1523482935,0
1523483835,0
1523484735,0
1523485635,0
1523486535,0
1523487435,0
1523488335,0
1523489235,0
1523490135,0
1523491035,0
1523491935,0
1523492835,0
1523493735,0
1523494635,0
1523495535,0
1523496435,2
1523497335,2
1523498235,2
1523499135,2
1523500035,2
1523500935,2
1523501835,0
1523502735,0
1523503635,0
1523504535,0
1523505435,0
1523506335,0
1523507235,0
1523508135,0
1523509035,0
1523509935,0
1523510835,0
1523511735,0
1523512635,0
1523513535,0
1523514435,0
1523516256,0
