t,count
1523480235,460
1523481135,700
1523482035,940
1523482935,1180
1523483835,1420
1523484735,1660
1523485635,1900
1523486535,2140
1523487435,2380
1523488335,2620
1523489235,2860
1523490135,3100
1523491035,3340
1523491935,3580
1523492835,3820
1523493735,4060
1523494635,4300
1523495535,4540
1523496435,4774
1523497335,4774
1523498235,4774
1523499135,4774
1523500035,4774
1523500935,4774
1523501835,4774
1523502735,4774
1523503635,4774
1523504535,4774
1523505435,4774
1523506335,4774
1523507235,4774
1523508135,4774
1523509035,4774
1523509935,4774
1523510835,4774
1523511735,4779
1523512635,5020
1523513535,5260
1523514435,5500
1523516256,254
