t,value
1523480235,19
1523481135,23
1523482035,26
1523482935,30
1523483835,34
1523484735,38
1523485635,42
1523486535,45
1523487435,49
1523488335,53
1523489235,57
1523490135,60
1523491035,64
1523491935,68
1523492835,72
1523493735,75
1523494635,79
1523495535,83
1523496435,87
1523497335,88
1523498235,90
1523499135,92
1523500035,94
1523500935,95
1523501835,97
1523502735,99
1523503635,102
1523504535,104
1523505435,106
1523506335,108
1523507235,110
1523508135,112
1523509035,114
1523509935,116
1523510835,118
1523511735,120
1523512635,124
1523513535,128
1523514435,131
1523516256,12
