t,value
1523480235,598
1523481135,709
1523482035,795
1523482935,884
1523483835,914
1523484735,939
1523485635,964
1523486535,984
1523487435,1007
1523488335,1033
1523489235,1058
1523490135,1077
1523491035,1101
1523491935,1126
1523492835,1152
1523493735,1171
1523494635,1196
1523495535,1221
1523496435,1245
1523497335,1252
1523498235,1268
1523499135,1283
1523500035,1299
1523500935,1307
1523501835,1325
1523502735,1346
1523503635,1378
1523504535,1402
1523505435,1423
1523506335,1446
1523507235,1468
1523508135,1488
1523509035,1510
1523509935,1530
1523510835,1551
1523511735,1574
1523512635,1600
1523513535,1624
1523514435,1643
1523516256,561
