t,value
1523480235,4294967296
1523481135,4294967296
1523482035,4294967296
1523482935,4294967296
1523483835,4294967296
1523484735,4294967296
1523485635,4294967296
1523486535,4294967296
1523487435,4294967296
1523488335,4294967296
1523489235,4294967296
1523490135,4294967296
1523491035,4294967296
1523491935,4294967296
1523492835,4294967296
1523493735,4294967296
1523494635,4294967296
1523495535,4294967296
1523496435,4294967296
1523497335,4294967296
1523498235,4294967296
1523499135,4294967296
1523500035,4294967296
1523500935,4294967296
1523501835,4294967296
1523502735,4294967296
1523503635,4294967296
1523504535,4294967296
1523505435,4294967296
1523506335,4294967296
1523507235,4294967296
1523508135,4294967296
1523509035,4294967296
1523509935,4294967296
1523510835,4294967296
1523511735,4294967296
1523512635,4294967296
1523513535,4294967296
1523514435,4294967296
1523516256,4294967296
