t,value
1523480235,2555904
1523481135,2555904
1523482035,2555904
1523482935,2555904
1523483835,2555904
1523484735,2555904
1523485635,2555904
1523486535,2555904
1523487435,2555904
1523488335,2555904
1523489235,2555904
1523490135,2555904
1523491035,2555904
1523491935,2555904
1523492835,2555904
1523493735,2555904
1523494635,2555904
1523495535,2555904
1523496435,2555904
1523497335,2555904
1523498235,2555904
1523499135,2555904
1523500035,2555904
1523500935,2555904
1523501835,2555904
1523502735,2555904
1523503635,2555904
1523504535,2555904
1523505435,2555904
1523506335,2555904
1523507235,2555904
1523508135,2555904
1523509035,2555904
1523509935,2555904
1523510835,2555904
1523511735,2555904
1523512635,2555904
1523513535,2555904
1523514435,2555904
1523516256,2555904
