t,value
1523480235,1862270976
1523481135,1862270976
1523482035,1862270976
1523482935,1862270976
1523483835,1862270976
1523484735,1862270976
1523485635,1862270976
1523486535,1862270976
1523487435,1862270976
1523488335,1862270976
1523489235,1862270976
1523490135,1862270976
1523491035,1862270976
1523491935,1862270976
1523492835,1862270976
1523493735,1862270976
1523494635,1862270976
1523495535,1862270976
1523496435,1862270976
1523497335,1862270976
1523498235,1862270976
1523499135,1862270976
1523500035,1862270976
1523500935,1862270976
1523501835,1862270976
1523502735,1862270976
1523503635,1862270976
1523504535,1862270976
1523505435,1862270976
1523506335,1862270976
1523507235,1862270976
1523508135,1862270976
1523509035,1862270976
1523509935,1862270976
1523510835,1862270976
1523511735,1862270976
1523512635,1862270976
1523513535,1862270976
1523514435,1862270976
1523516256,1862270976
