t,value
1523480235,192846064
1523481135,197556512
1523482035,200803496
1523482935,203592632
1523483835,205594024
1523484735,206883144
1523485635,208284280
1523486535,209256472
1523487435,210420544
1523488335,210802880
1523489235,211276032
1523490135,211717968
1523491035,212279184
1523491935,212962352
1523492835,213268696
1523493735,213724888
1523494635,214111880
1523495535,215207600
1523496435,215725568
1523497335,215776304
1523498235,216118720
1523499135,216546768
1523500035,216627152
1523500935,216852984
1523501835,220445464
1523502735,221378832
1523503635,221707360
1523504535,221698544
1523505435,222104464
1523506335,222239432
1523507235,222679656
1523508135,222872112
1523509035,222963800
1523509935,223028088
1523510835,223175424
1523511735,223663632
1523512635,223850392
1523513535,223661352
1523514435,223670152
1523516256,189679424
