t,value
1523480235,52101120
1523481135,55967744
1523482035,58523648
1523482935,61079552
1523483835,62717952
1523484735,63766528
1523485635,65011712
1523486535,65994752
1523487435,66912256
1523488335,67436544
1523489235,67698688
1523490135,68091904
1523491035,68616192
1523491935,69074944
1523492835,69271552
1523493735,69599232
1523494635,69992448
1523495535,70778880
1523496435,71368704
1523497335,71499776
1523498235,71630848
1523499135,71892992
1523500035,72024064
1523500935,72220672
1523501835,75038720
1523502735,75890688
1523503635,76349440
1523504535,76349440
1523505435,76677120
1523506335,77135872
1523507235,77266944
1523508135,77529088
1523509035,77529088
1523509935,77529088
1523510835,77529088
1523511735,77922304
1523512635,78249984
1523513535,78249984
1523514435,78249984
1523516256,49938432
