t,value
1523480235,51742720
1523481135,55578880
1523482035,58111360
1523482935,60602624
1523483835,62230272
1523484735,63276928
1523485635,64475200
1523486535,65350016
1523487435,66331264
1523488335,66682112
1523489235,67117568
1523490135,67518272
1523491035,67959616
1523491935,68400256
1523492835,68671808
1523493735,69065792
1523494635,69397696
1523495535,70274432
1523496435,70768000
1523497335,70805120
1523498235,71093120
1523499135,71356736
1523500035,71430592
1523500935,71646592
1523501835,74491584
1523502735,75341056
1523503635,75646656
1523504535,75619712
1523505435,75988992
1523506335,76077120
1523507235,76458816
1523508135,76644608
1523509035,76659520
1523509935,76712384
1523510835,76836992
1523511735,77275136
1523512635,77457408
1523513535,77259456
1523514435,77257728
1523516256,49561152
