t,value
1523480235,1077936128
1523481135,1078984704
1523482035,1077936128
1523482935,1121976320
1523483835,1123024896
1523484735,1124073472
1523485635,1124073472
1523486535,1124073472
1523487435,1124073472
1523488335,1125122048
1523489235,1125122048
1523490135,1125122048
1523491035,1125122048
1523491935,1124073472
1523492835,1125122048
1523493735,1124073472
1523494635,1125122048
1523495535,1125122048
1523496435,1124073472
1523497335,1124073472
1523498235,1125122048
1523499135,1124073472
1523500035,1125122048
1523500935,1124073472
1523501835,1121976320
1523502735,1119879168
1523503635,1119879168
1523504535,1120927744
1523505435,1119879168
1523506335,1121976320
1523507235,1120927744
1523508135,1117782016
1523509035,1119879168
1523509935,1118830592
1523510835,1119879168
1523511735,1119879168
1523512635,1123024896
1523513535,1123024896
1523514435,1124073472
1523516256,845152256
