t,value
1523480235,478150656
1523481135,478150656
1523482035,478150656
1523482935,478150656
1523483835,478150656
1523484735,478150656
1523485635,478150656
1523486535,478150656
1523487435,478150656
1523488335,478150656
1523489235,478150656
1523490135,478150656
1523491035,478150656
1523491935,478150656
1523492835,478150656
1523493735,478150656
1523494635,478150656
1523495535,478150656
1523496435,478150656
1523497335,478150656
1523498235,478150656
1523499135,478150656
1523500035,478150656
1523500935,478150656
1523501835,478150656
1523502735,478150656
1523503635,478150656
1523504535,478150656
1523505435,478150656
1523506335,478150656
1523507235,478150656
1523508135,478150656
1523509035,478150656
1523509935,478150656
1523510835,478150656
1523511735,478150656
1523512635,478150656
1523513535,478150656
1523514435,478150656
1523516256,171966464
