t,value
1523480235,791674880
1523481135,791674880
1523482035,791674880
1523482935,791674880
1523483835,791674880
1523484735,791674880
1523485635,791674880
1523486535,791674880
1523487435,791674880
1523488335,791674880
1523489235,791674880
1523490135,791674880
1523491035,791674880
1523491935,791674880
1523492835,791674880
1523493735,791674880
1523494635,791674880
1523495535,791674880
1523496435,791674880
1523497335,791674880
1523498235,791674880
1523499135,791674880
1523500035,791674880
1523500935,791674880
1523501835,791674880
1523502735,791674880
1523503635,791674880
1523504535,791674880
1523505435,791674880
1523506335,791674880
1523507235,791674880
1523508135,791674880
1523509035,791674880
1523509935,791674880
1523510835,791674880
1523511735,791674880
1523512635,791674880
1523513535,791674880
1523514435,791674880
1523516256,791674880
