t,value
1523480235,57671664
1523481135,57147384
1523482035,57147384
1523482935,105381880
1523483835,112944136
1523484735,112653248
1523485635,113208096
1523486535,113265744
1523487435,113658000
1523488335,113742432
1523489235,114385160
1523490135,114196736
1523491035,114256384
1523491935,114008400
1523492835,114517880
1523493735,113916696
1523494635,114768784
1523495535,114993312
1523496435,114543408
1523497335,114417240
1523498235,114829712
1523499135,114736992
1523500035,115290848
1523500935,115136936
1523501835,114665664
1523502735,114910200
1523503635,114962936
1523504535,115351136
1523505435,115160568
1523506335,115186680
1523507235,115212280
1523508135,115283984
1523509035,116059120
1523509935,115798576
1523510835,115609080
1523511735,115857152
1523512635,115810416
1523513535,115940648
1523514435,116943744
1523516256,50331632
