t,value
1523480235,50331648
1523481135,49283072
1523482035,50331648
1523482935,6291456
1523483835,5242880
1523484735,4194304
1523485635,4194304
1523486535,4194304
1523487435,4194304
1523488335,3145728
1523489235,3145728
1523490135,3145728
1523491035,3145728
1523491935,4194304
1523492835,3145728
1523493735,4194304
1523494635,3145728
1523495535,3145728
1523496435,4194304
1523497335,4194304
1523498235,3145728
1523499135,4194304
1523500035,3145728
1523500935,4194304
1523501835,6291456
1523502735,8388608
1523503635,8388608
1523504535,7340032
1523505435,8388608
1523506335,6291456
1523507235,7340032
1523508135,10485760
1523509035,8388608
1523509935,9437184
1523510835,8388608
1523511735,8388608
1523512635,5242880
1523513535,5242880
1523514435,4194304
1523516256,56623104
