t,value
1523480235,126105336
1523481135,126952128
1523482035,127647488
1523482935,127944872
1523483835,128304304
1523484735,128546304
1523485635,128748384
1523486535,128844104
1523487435,129026928
1523488335,129058416
1523489235,129096112
1523490135,129137344
1523491035,129256264
1523491935,129473984
1523492835,129508776
1523493735,129570984
1523494635,129626072
1523495535,129829808
1523496435,129854208
1523497335,129867824
1523498235,129922240
1523499135,130068808
1523500035,130075336
1523500935,130085440
1523501835,130814104
1523502735,130898536
1523503635,130919560
1523504535,130937688
1523505435,130974328
1523506335,131020192
1523507235,131078240
1523508135,131084904
1523509035,131155608
1523509935,131167032
1523510835,131189760
1523511735,131239272
1523512635,131243760
1523513535,131252672
1523514435,131263864
1523516256,125216888
