t,value
1523480235,1076297728
1523481135,1076297728
1523482035,1076297728
1523482935,1076297728
1523483835,1076297728
1523484735,1076297728
1523485635,1076297728
1523486535,1076297728
1523487435,1076297728
1523488335,1076297728
1523489235,1076297728
1523490135,1076297728
1523491035,1076297728
1523491935,1076297728
1523492835,1076297728
1523493735,1076297728
1523494635,1076297728
1523495535,1076297728
1523496435,1076297728
1523497335,1076297728
1523498235,1076297728
1523499135,1076297728
1523500035,1076297728
1523500935,1076297728
1523501835,1076297728
1523502735,1076297728
1523503635,1076297728
1523504535,1076297728
1523505435,1076297728
1523506335,1076297728
1523507235,1076297728
1523508135,1076297728
1523509035,1076297728
1523509935,1076297728
1523510835,1076297728
1523511735,1076297728
1523512635,1076297728
1523513535,1076297728
1523514435,1076297728
1523516256,1076297728
