t,value
1523480235,6157238272
1523481135,6157238272
1523482035,6157238272
1523482935,6157238272
1523483835,6157238272
1523484735,6157238272
1523485635,6157238272
1523486535,6157238272
1523487435,6157238272
1523488335,6157238272
1523489235,6157238272
1523490135,6157238272
1523491035,6157238272
1523491935,6157238272
1523492835,6157238272
1523493735,6157238272
1523494635,6157238272
1523495535,6157238272
1523496435,6157238272
1523497335,6157238272
1523498235,6157238272
1523499135,6157238272
1523500035,6157238272
1523500935,6157238272
1523501835,6157238272
1523502735,6157238272
1523503635,6157238272
1523504535,6157238272
1523505435,6157238272
1523506335,6157238272
1523507235,6157238272
1523508135,6157238272
1523509035,6157238272
1523509935,6157238272
1523510835,6157238272
1523511735,6157238272
1523512635,6157238272
1523513535,6157238272
1523514435,6157238272
1523516256,6157238272
