t,value
1523480235,373209184
1523481135,310292104
1523482035,1266680992
1523482935,1142609160
1523483835,903644624
1523484735,642500088
1523485635,392795544
1523486535,1200180328
1523487435,953224144
1523488335,692595488
1523489235,436810248
1523490135,1245515600
1523491035,983992720
1523491935,718089600
1523492835,467247184
1523493735,1276602864
1523494635,1017795800
1523495535,799955152
1523496435,496992560
1523497335,1268669064
1523498235,997842768
1523499135,720305456
1523500035,448309936
1523500935,1227477328
1523501835,1247372248
1523502735,1328249080
1523503635,352398936
1523504535,424081488
1523505435,514474376
1523506335,567072640
1523507235,645124704
1523508135,720886336
1523509035,822416456
1523509935,897717672
1523510835,960590072
1523511735,1058843920
1523512635,812568584
1523513535,541977168
1523514435,1348300192
1523516256,583967248
