t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,179,0.003000,0.000775,0.000000,0.000474,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.211485,0.208330,0.323185,0.986819,calls/second,seconds
1523481135,180,0.002000,0.000799,0.000000,0.000533,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.201145,0.191672,0.208711,0.274047,calls/second,seconds
1523482035,180,0.003000,0.000729,0.000000,0.000498,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201156,0.191672,0.208711,0.274047,calls/second,seconds
1523482935,180,0.003000,0.000679,0.000000,0.000567,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.201162,0.191672,0.208714,0.274049,calls/second,seconds
1523483835,180,0.002000,0.000778,0.000000,0.000464,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201165,0.191672,0.208686,0.274029,calls/second,seconds
1523484735,180,0.003000,0.000714,0.000000,0.000729,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.201165,0.191672,0.208714,0.274049,calls/second,seconds
1523485635,180,0.002000,0.000765,0.000000,0.000479,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201171,0.191672,0.208711,0.274047,calls/second,seconds
1523486535,180,0.007000,0.000612,0.000000,0.000728,0.001000,0.001000,0.002000,0.002000,0.002000,0.007000,0.201174,0.191672,0.208714,0.274049,calls/second,seconds
1523487435,180,0.002000,0.000526,0.000000,0.000541,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201177,0.191672,0.208711,0.274047,calls/second,seconds
1523488335,180,0.002000,0.000531,0.000000,0.000610,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.201182,0.191672,0.208714,0.274049,calls/second,seconds
1523489235,180,0.002000,0.000506,0.000000,0.000547,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201184,0.191672,0.208701,0.274040,calls/second,seconds
1523490135,180,0.002000,0.000782,0.000000,0.000542,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.201186,0.191672,0.208704,0.274042,calls/second,seconds
1523491035,180,0.002000,0.000647,0.000000,0.000486,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.201191,0.191672,0.208714,0.274049,calls/second,seconds
1523491935,180,0.002000,0.000830,0.000000,0.000402,0.001000,0.001000,0.001000,0.001000,0.002000,0.002000,0.201190,0.191672,0.208714,0.274049,calls/second,seconds
1523492835,180,0.003000,0.000724,0.000000,0.000578,0.001000,0.001000,0.001000,0.003000,0.003000,0.003000,0.201196,0.191672,0.208700,0.274039,calls/second,seconds
1523493735,180,0.004000,0.000947,0.000000,0.000829,0.001000,0.001000,0.004000,0.004000,0.004000,0.004000,0.201200,0.191672,0.208693,0.274034,calls/second,seconds
1523494635,180,0.002000,0.000624,0.000000,0.000533,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201201,0.191672,0.208701,0.274039,calls/second,seconds
1523495535,180,0.003000,0.000609,0.000000,0.000509,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.201203,0.191672,0.208704,0.274042,calls/second,seconds
1523496435,178,0.003000,0.000597,0.000000,0.000545,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.198972,0.176959,0.205463,0.272947,calls/second,seconds
1523497335,90,0.002000,0.000411,0.000000,0.000528,0.000000,0.001000,0.001000,0.001000,0.002000,0.002000,0.100604,0.095836,0.104354,0.137022,calls/second,seconds
1523498235,90,0.002000,0.000558,0.000000,0.000530,0.001000,0.001000,0.001000,0.001000,0.002000,0.002000,0.100606,0.095836,0.104357,0.137025,calls/second,seconds
1523499135,90,0.002000,0.000552,0.000000,0.000516,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.100607,0.095836,0.104348,0.137017,calls/second,seconds
1523500035,90,0.002000,0.000747,0.000000,0.000451,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.100606,0.095836,0.104357,0.137025,calls/second,seconds
1523500935,90,0.002000,0.000723,0.000000,0.000699,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100611,0.095836,0.104357,0.137025,calls/second,seconds
1523501835,90,0.002000,0.000725,0.000000,0.000674,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100614,0.095836,0.104341,0.137013,calls/second,seconds
1523502735,90,0.002000,0.000717,0.000000,0.000457,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.100618,0.095836,0.104290,0.136983,calls/second,seconds
1523503635,90,0.002000,0.000502,0.000000,0.000606,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100620,0.095836,0.104357,0.137025,calls/second,seconds
1523504535,90,0.002000,0.000712,0.000000,0.000541,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.100621,0.095836,0.104331,0.137007,calls/second,seconds
1523505435,90,0.002000,0.000635,0.000000,0.000544,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.100619,0.095836,0.104354,0.137022,calls/second,seconds
1523506335,90,0.002000,0.000825,0.000000,0.000441,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.100624,0.096491,0.104258,0.136953,calls/second,seconds
1523507235,90,0.002000,0.000748,0.000000,0.000567,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100625,0.095836,0.104357,0.137025,calls/second,seconds
1523508135,90,0.003000,0.000777,0.000000,0.000446,0.001000,0.001000,0.001000,0.001000,0.002000,0.002000,0.100625,0.095836,0.104315,0.136997,calls/second,seconds
1523509035,90,0.002000,0.000816,0.000000,0.000390,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100628,0.095836,0.104357,0.137025,calls/second,seconds
1523509935,90,0.002000,0.000706,0.000000,0.000472,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.100631,0.095836,0.104354,0.137022,calls/second,seconds
1523510835,90,0.002000,0.001015,0.000000,0.000523,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100632,0.095836,0.104344,0.137013,calls/second,seconds
1523511735,91,0.002000,0.000635,0.000000,0.000648,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.101751,0.090357,0.102983,0.136726,calls/second,seconds
1523512635,180,0.002000,0.000749,0.000000,0.000480,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201265,0.191672,0.208714,0.274049,calls/second,seconds
1523513535,180,0.002000,0.000767,0.000000,0.000549,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.201271,0.191672,0.208685,0.274029,calls/second,seconds
1523514435,180,0.003000,0.000641,0.000000,0.000524,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.201273,0.191672,0.208708,0.274044,calls/second,seconds
1523516256,160,0.003000,0.001239,0.001000,0.000427,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.203165,0.208330,0.246107,0.452532,calls/second,seconds
