t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,90,0.200000,0.001838,0.001000,0.000640,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.106273,0.104165,0.167674,0.532733,calls/second,seconds
1523481135,90,0.003000,0.001222,0.001000,0.000416,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100571,0.095836,0.104354,0.137022,calls/second,seconds
1523482035,90,0.003000,0.001033,0.001000,0.000247,0.001000,0.001000,0.001000,0.001000,0.003000,0.003000,0.100576,0.095836,0.104354,0.137022,calls/second,seconds
1523482935,90,0.002000,0.000835,0.000000,0.000372,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100579,0.095836,0.104357,0.137025,calls/second,seconds
1523483835,90,0.003000,0.000776,0.000000,0.000458,0.001000,0.001000,0.001000,0.001000,0.001000,0.003000,0.100581,0.095836,0.104351,0.137020,calls/second,seconds
1523484735,90,0.004000,0.000681,0.000000,0.000496,0.001000,0.001000,0.001000,0.001000,0.001000,0.004000,0.100581,0.095836,0.104357,0.137025,calls/second,seconds
1523485635,90,0.003000,0.001020,0.000000,0.000774,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.100584,0.095836,0.104345,0.137015,calls/second,seconds
1523486535,90,0.001000,0.000664,0.000000,0.000472,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100585,0.095836,0.104357,0.137025,calls/second,seconds
1523487435,90,0.001000,0.000504,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100587,0.095836,0.104354,0.137022,calls/second,seconds
1523488335,90,0.002000,0.000700,0.000000,0.000584,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100590,0.095836,0.104354,0.137022,calls/second,seconds
1523489235,90,0.002000,0.000686,0.000000,0.000527,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.100590,0.095836,0.104357,0.137025,calls/second,seconds
1523490135,90,0.001000,0.000766,0.000000,0.000423,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100591,0.095836,0.104345,0.137015,calls/second,seconds
1523491035,90,0.003000,0.000817,0.000000,0.000387,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100594,0.095836,0.104357,0.137025,calls/second,seconds
1523491935,90,0.003000,0.000488,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100594,0.095836,0.104357,0.137025,calls/second,seconds
1523492835,90,0.002000,0.000775,0.000000,0.000418,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100596,0.095836,0.104357,0.137025,calls/second,seconds
1523493735,90,0.001000,0.000760,0.000000,0.000427,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100598,0.095836,0.104357,0.137025,calls/second,seconds
1523494635,90,0.001000,0.000721,0.000000,0.000449,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100599,0.095836,0.104338,0.137010,calls/second,seconds
