t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,56,0.001000,0.000152,0.000000,0.000359,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.067330,0.072254,0.075893,0.120085,calls/second,seconds
1523481135,60,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067302,0.072293,0.074701,0.116774,calls/second,seconds
1523482035,60,0.001000,0.000105,0.000000,0.000306,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.067304,0.072293,0.074692,0.116767,calls/second,seconds
1523482935,60,0.001000,0.000082,0.000000,0.000274,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.067306,0.072293,0.074701,0.116774,calls/second,seconds
1523483835,60,0.001000,0.000002,0.000000,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.067305,0.072293,0.074697,0.116771,calls/second,seconds
1523484735,60,0.001000,0.000000,0.000000,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067305,0.072293,0.074685,0.116765,calls/second,seconds
1523485635,60,0.001000,0.000086,0.000000,0.000280,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.067306,0.072293,0.074636,0.116734,calls/second,seconds
1523486535,60,0.001000,0.000014,0.000000,0.000116,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.067307,0.072293,0.074689,0.116768,calls/second,seconds
1523487435,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067307,0.072293,0.074701,0.116774,calls/second,seconds
1523488335,60,0.001000,0.000014,0.000000,0.000116,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.067308,0.072293,0.074687,0.116764,calls/second,seconds
1523489235,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067308,0.072293,0.074701,0.116774,calls/second,seconds
1523490135,60,0.001000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067308,0.072293,0.074691,0.116768,calls/second,seconds
1523491035,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067308,0.072293,0.074701,0.116774,calls/second,seconds
1523491935,60,0.001000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067308,0.072291,0.074581,0.116724,calls/second,seconds
1523492835,60,0.001000,0.000134,0.000000,0.000341,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.067309,0.072293,0.074680,0.116759,calls/second,seconds
1523493735,60,0.001000,0.000021,0.000000,0.000144,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.067310,0.072293,0.074695,0.116769,calls/second,seconds
1523494635,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067309,0.072293,0.074654,0.116749,calls/second,seconds
1523495535,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067309,0.072293,0.074695,0.116769,calls/second,seconds
1523496435,60,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.067311,0.072293,0.074652,0.116743,calls/second,seconds
