t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,2206,0.003000,0.000200,0.000000,0.000510,0.000000,0.000000,0.001000,0.002000,0.002000,0.003000,2.575933,2.499943,2.322217,1.620123,calls/second,seconds
1523481135,2160,0.002000,0.000124,0.000000,0.000365,0.000000,0.000000,0.001000,0.001000,0.002000,0.002000,2.413630,2.300059,2.504569,3.288589,calls/second,seconds
1523482035,2160,0.003000,0.000104,0.000000,0.000313,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,2.413764,2.300059,2.504569,3.288589,calls/second,seconds
1523482935,2160,0.001000,0.000095,0.000000,0.000293,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.413851,2.300059,2.504569,3.288589,calls/second,seconds
1523483835,2160,0.003000,0.000094,0.000000,0.000302,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,2.413861,2.300059,2.504554,3.288577,calls/second,seconds
1523484735,2160,0.004000,0.000071,0.000000,0.000261,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.413894,2.300059,2.504569,3.288589,calls/second,seconds
1523485635,2160,0.003000,0.000118,0.000000,0.000426,0.000000,0.000000,0.001000,0.001000,0.003000,0.003000,2.413962,2.300059,2.504499,3.288535,calls/second,seconds
1523486535,2160,0.001000,0.000087,0.000000,0.000282,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.413999,2.300059,2.504569,3.288589,calls/second,seconds
1523487435,2160,0.001000,0.000052,0.000000,0.000221,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414026,2.300059,2.504569,3.288589,calls/second,seconds
1523488335,2160,0.002000,0.000093,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,2.414100,2.300059,2.504569,3.288589,calls/second,seconds
1523489235,2160,0.002000,0.000084,0.000000,0.000282,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,2.414109,2.300059,2.504569,3.288589,calls/second,seconds
1523490135,2160,0.001000,0.000108,0.000000,0.000310,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414145,2.300059,2.504462,3.288507,calls/second,seconds
1523491035,2160,0.001000,0.000089,0.000000,0.000285,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414189,2.300059,2.504569,3.288589,calls/second,seconds
1523491935,2160,0.001000,0.000056,0.000000,0.000229,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414185,2.300059,2.504569,3.288589,calls/second,seconds
1523492835,2160,0.001000,0.000109,0.000000,0.000312,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414245,2.300059,2.504569,3.288589,calls/second,seconds
1523493735,2160,0.001000,0.000083,0.000000,0.000277,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414306,2.300059,2.504569,3.288589,calls/second,seconds
1523494635,2160,0.001000,0.000082,0.000000,0.000275,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.414311,2.300059,2.504420,3.288476,calls/second,seconds
1523495535,2160,0.003000,0.000089,0.000000,0.000310,0.000000,0.000000,0.001000,0.001000,0.001000,0.003000,2.414336,2.300059,2.504569,3.288589,calls/second,seconds
1523496435,2133,0.002000,0.000084,0.000000,0.000280,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.384223,2.167646,2.475309,3.278672,calls/second,seconds
1523497335,540,0.001000,0.000008,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.603603,0.575015,0.626142,0.822147,calls/second,seconds
1523498235,540,0.001000,0.000041,0.000000,0.000198,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.603614,0.575015,0.626142,0.822147,calls/second,seconds
1523499135,540,0.001000,0.000047,0.000000,0.000211,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.603623,0.575015,0.626087,0.822105,calls/second,seconds
1523500035,540,0.001000,0.000024,0.000000,0.000155,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.603615,0.575015,0.626142,0.822147,calls/second,seconds
1523500935,540,0.001000,0.000015,0.000000,0.000120,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.603644,0.575015,0.626142,0.822147,calls/second,seconds
1523501835,1170,0.002000,0.000096,0.000000,0.000297,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.307916,1.437528,1.429108,1.302699,calls/second,seconds
1523502735,1350,0.001000,0.000121,0.000000,0.000326,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509194,1.437537,1.565356,2.055368,calls/second,seconds
1523503635,1350,0.001000,0.000109,0.000000,0.000311,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509219,1.437533,1.565326,2.055360,calls/second,seconds
1523504535,1350,0.002000,0.000105,0.000000,0.000306,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509222,1.437536,1.565207,2.055261,calls/second,seconds
1523505435,1350,0.001000,0.000093,0.000000,0.000291,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509204,1.437537,1.565356,2.055368,calls/second,seconds
1523506335,1350,0.002000,0.000090,0.000000,0.000287,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509279,1.438193,1.565274,2.055275,calls/second,seconds
1523507235,1350,0.001000,0.000113,0.000000,0.000317,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509290,1.437537,1.565356,2.055368,calls/second,seconds
1523508135,1350,0.001000,0.000102,0.000000,0.000302,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509288,1.437533,1.565206,2.055258,calls/second,seconds
1523509035,1350,0.002000,0.000098,0.000000,0.000297,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509343,1.437537,1.565356,2.055368,calls/second,seconds
1523509935,1350,0.001000,0.000114,0.000000,0.000318,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.509388,1.437537,1.565356,2.055368,calls/second,seconds
1523510835,1350,0.003000,0.000085,0.000000,0.000355,0.000000,0.000000,0.001000,0.001000,0.001000,0.003000,1.509406,1.437537,1.565364,2.055371,calls/second,seconds
1523511735,1359,0.001000,0.000161,0.000000,0.000368,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.519476,1.437537,1.565356,2.055368,calls/second,seconds
1523512635,2160,0.001000,0.000058,0.000000,0.000235,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.415088,2.300059,2.504569,3.288589,calls/second,seconds
1523513535,2160,0.001000,0.000055,0.000000,0.000228,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.415166,2.300059,2.504569,3.288589,calls/second,seconds
1523514435,2160,0.001000,0.000056,0.000000,0.000231,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,2.415178,2.300059,2.504569,3.288589,calls/second,seconds
1523516256,1981,0.005000,0.000266,0.000000,0.000583,0.000000,0.000000,0.002000,0.002000,0.002000,0.003000,2.507712,2.499986,3.859422,10.558662,calls/second,seconds
