t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,84,0.001000,0.000006,0.000000,0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100343,0.104164,0.107012,0.139900,calls/second,seconds
1523481135,90,0.001000,0.000002,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100348,0.104164,0.105886,0.137344,calls/second,seconds
1523482035,90,0.001000,0.000001,0.000000,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100352,0.104161,0.105778,0.137302,calls/second,seconds
1523482935,90,0.001000,0.000001,0.000000,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100354,0.104164,0.105938,0.137373,calls/second,seconds
1523483835,90,0.001000,0.000003,0.000000,0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100354,0.104163,0.105837,0.137324,calls/second,seconds
1523484735,90,0.001000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100354,0.104164,0.105922,0.137363,calls/second,seconds
1523485635,90,0.001000,0.000027,0.000000,0.000161,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.100355,0.104164,0.105887,0.137339,calls/second,seconds
1523486535,90,0.001000,0.000001,0.000000,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100356,0.104164,0.105935,0.137371,calls/second,seconds
1523487435,90,0.001000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100357,0.104164,0.105935,0.137371,calls/second,seconds
1523488335,90,0.001000,0.000002,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100359,0.104164,0.105923,0.137364,calls/second,seconds
1523489235,90,0.001000,0.000008,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100359,0.104164,0.105894,0.137351,calls/second,seconds
1523490135,90,0.001000,0.000000,0.000000,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100359,0.104164,0.105938,0.137373,calls/second,seconds
1523491035,90,0.001000,0.000001,0.000000,0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100360,0.104164,0.105930,0.137368,calls/second,seconds
1523491935,90,0.001000,0.000010,0.000000,0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100358,0.104164,0.105832,0.137312,calls/second,seconds
1523492835,90,0.001000,0.000003,0.000000,0.000051,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100361,0.104164,0.105932,0.137369,calls/second,seconds
1523493735,90,0.001000,0.000097,0.000000,0.000296,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100363,0.104164,0.105912,0.137354,calls/second,seconds
1523494635,90,0.001000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100362,0.104164,0.105915,0.137357,calls/second,seconds
1523495535,90,0.001000,0.000002,0.000000,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100361,0.104164,0.105938,0.137373,calls/second,seconds
1523496435,90,0.001000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100364,0.104164,0.105924,0.137364,calls/second,seconds
1523497335,90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100364,0.104164,0.105938,0.137373,calls/second,seconds
1523498235,90,0.001000,0.000120,0.000000,0.000325,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100365,0.104164,0.105909,0.137359,calls/second,seconds
1523499135,90,0.001000,0.000003,0.000000,0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100365,0.104164,0.105836,0.137322,calls/second,seconds
1523500035,90,0.001000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100362,0.104164,0.105938,0.137373,calls/second,seconds
1523500935,90,0.001000,0.000105,0.000000,0.000307,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100367,0.104164,0.105929,0.137366,calls/second,seconds
1523501835,90,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.100367,0.104164,0.105935,0.137371,calls/second,seconds
1523502735,90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100370,0.104164,0.105935,0.137371,calls/second,seconds
1523503635,90,0.001000,0.000031,0.000000,0.000174,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.100371,0.104164,0.105938,0.137373,calls/second,seconds
1523504535,90,0.001000,0.000011,0.000000,0.000104,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.100370,0.104164,0.105938,0.137373,calls/second,seconds
1523505435,90,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100368,0.104164,0.105932,0.137369,calls/second,seconds
1523506335,90,0.001000,0.000120,0.000000,0.000325,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100373,0.104164,0.105938,0.137373,calls/second,seconds
1523507235,90,0.001000,0.000006,0.000000,0.000078,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.100373,0.104164,0.105919,0.137359,calls/second,seconds
1523508135,90,0.001000,0.000013,0.000000,0.000113,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.100371,0.104164,0.105931,0.137369,calls/second,seconds
1523509035,90,0.001000,0.000001,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100374,0.104164,0.105900,0.137348,calls/second,seconds
1523509935,90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100376,0.104164,0.105915,0.137357,calls/second,seconds
1523510835,90,0.001000,0.000076,0.000000,0.000266,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100377,0.104164,0.105938,0.137373,calls/second,seconds
1523511735,90,0.001000,0.000038,0.000000,0.000191,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.100376,0.104164,0.105938,0.137373,calls/second,seconds
1523512635,90,0.001000,0.000048,0.000000,0.000214,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.100377,0.104164,0.105938,0.137373,calls/second,seconds
1523513535,90,0.001000,0.000093,0.000000,0.000290,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100378,0.104164,0.105938,0.137373,calls/second,seconds
1523514435,90,0.001000,0.000102,0.000000,0.000303,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100378,0.104164,0.105908,0.137352,calls/second,seconds
1523516256,78,0.001000,0.000054,0.000000,0.000225,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100126,0.104165,0.108448,0.142664,calls/second,seconds
