t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,2,0.002000,0.001000,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.008088,0.007326,0.179732,0.306371,calls/second,seconds
1523481135,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523482035,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004722,0.000539,0.027246,0.158984,calls/second,seconds
1523482935,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523483835,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004722,0.000586,0.027295,0.158994,calls/second,seconds
1523484735,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523485635,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004723,0.000586,0.027295,0.158994,calls/second,seconds
1523486535,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523487435,4,0.001000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004722,0.000586,0.027295,0.158994,calls/second,seconds
1523488335,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523489235,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004723,0.000586,0.027295,0.158994,calls/second,seconds
1523490135,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523491035,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004723,0.000586,0.027295,0.158994,calls/second,seconds
1523491935,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523492835,4,0.001000,0.001000,0.000000,0.000011,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004722,0.000586,0.027295,0.158994,calls/second,seconds
1523493735,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523494635,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004722,0.000586,0.027295,0.158994,calls/second,seconds
1523495535,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
1523496435,4,0.001000,0.001000,0.000000,0.000011,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004723,0.000586,0.027295,0.158994,calls/second,seconds
1523497335,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003656,0.000049,0.066120,0.219525,calls/second,seconds
