t,count
1523480235,715
1523481135,1435
1523482035,2155
1523482935,2875
1523483835,3595
1523484735,4315
1523485635,5035
1523486535,5755
1523487435,6475
1523488335,7195
1523489235,7915
1523490135,8635
1523491035,9355
1523491935,10075
1523492835,10795
1523493735,11515
1523494635,12235
1523495535,12955
1523496435,13665
1523497335,13935
1523498235,14205
1523499135,14476
1523500035,14746
1523500935,15016
1523501835,15517
1523502735,16084
1523503635,16652
1523504535,17218
1523505435,17790
1523506335,18352
1523507235,18920
1523508135,19487
1523509035,20059
1523509935,20627
1523510835,21191
1523511735,21763
1523512635,22483
1523513535,23203
1523514435,23923
1523516256,640
