t,value
1523480235,399
1523481135,400
1523482035,400
1523482935,399
1523483835,399
1523484735,400
1523485635,399
1523486535,399
1523487435,399
1523488335,399
1523489235,399
1523490135,400
1523491035,399
1523491935,399
1523492835,398
1523493735,399
1523494635,399
1523495535,399
1523496435,399
1523497335,400
1523498235,399
1523499135,400
1523500035,399
1523500935,400
1523501835,399
1523502735,398
1523503635,400
1523504535,399
1523505435,400
1523506335,399
1523507235,399
1523508135,399
1523509035,397
1523509935,399
1523510835,399
1523511735,399
1523512635,399
1523513535,399
1523514435,400
1523516256,398
