t,value
1523480235,350
1523481135,350
1523482035,350
1523482935,350
1523483835,350
1523484735,350
1523485635,350
1523486535,350
1523487435,350
1523488335,350
1523489235,350
1523490135,350
1523491035,350
1523491935,350
1523492835,349
1523493735,350
1523494635,350
1523495535,350
1523496435,350
1523497335,350
1523498235,350
1523499135,350
1523500035,350
1523500935,350
1523501835,350
1523502735,350
1523503635,350
1523504535,350
1523505435,350
1523506335,350
1523507235,350
1523508135,350
1523509035,349
1523509935,350
1523510835,350
1523511735,349
1523512635,350
1523513535,350
1523514435,350
1523516256,350
