t,value
1523480235,22
1523481135,22
1523482035,22
1523482935,22
1523483835,22
1523484735,22
1523485635,22
1523486535,22
1523487435,22
1523488335,22
1523489235,22
1523490135,22
1523491035,22
1523491935,22
1523492835,22
1523493735,22
1523494635,22
1523495535,22
1523496435,24
1523497335,25
1523498235,25
1523499135,25
1523500035,25
1523500935,25
1523501835,22
1523502735,22
1523503635,22
1523504535,22
1523505435,22
1523506335,22
1523507235,22
1523508135,22
1523509035,22
1523509935,22
1523510835,22
1523511735,22
1523512635,22
1523513535,22
1523514435,22
1523516256,22
