t,value
1523480235,299
1523481135,298
1523482035,298
1523482935,300
1523483835,300
1523484735,298
1523485635,300
1523486535,299
1523487435,300
1523488335,300
1523489235,300
1523490135,298
1523491035,300
1523491935,300
1523492835,300
1523493735,299
1523494635,300
1523495535,300
1523496435,300
1523497335,299
1523498235,299
1523499135,299
1523500035,299
1523500935,299
1523501835,300
1523502735,300
1523503635,300
1523504535,300
1523505435,300
1523506335,300
1523507235,300
1523508135,300
1523509035,300
1523509935,300
1523510835,300
1523511735,300
1523512635,300
1523513535,300
1523514435,298
1523516256,300
