t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1523480235,91,0.067000,0.000456,0.000000,0.000504,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.107439,0.104165,0.179836,0.611381,calls/second,seconds
1523481135,90,0.002000,0.000320,0.000000,0.000466,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100566,0.095836,0.104357,0.137025,calls/second,seconds
1523482035,90,0.001000,0.000318,0.000000,0.000466,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100571,0.095836,0.104354,0.137022,calls/second,seconds
1523482935,90,0.001000,0.000394,0.000000,0.000489,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100575,0.095836,0.104357,0.137025,calls/second,seconds
1523483835,90,0.002000,0.000241,0.000000,0.000441,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,0.100575,0.095836,0.104351,0.137020,calls/second,seconds
1523484735,90,0.003000,0.000257,0.000000,0.000453,0.000000,0.001000,0.001000,0.001000,0.001000,0.003000,0.100577,0.095836,0.104357,0.137025,calls/second,seconds
1523485635,90,0.002000,0.000384,0.000000,0.000666,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.100580,0.095836,0.104345,0.137015,calls/second,seconds
1523486535,90,0.001000,0.000280,0.000000,0.000449,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100582,0.095836,0.104357,0.137025,calls/second,seconds
1523487435,90,0.001000,0.000173,0.000000,0.000378,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100582,0.095836,0.104357,0.137025,calls/second,seconds
1523488335,90,0.001000,0.000384,0.000000,0.000486,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100586,0.095836,0.104354,0.137022,calls/second,seconds
1523489235,90,0.002000,0.000229,0.000000,0.000420,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100586,0.095836,0.104357,0.137025,calls/second,seconds
1523490135,90,0.001000,0.000471,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100588,0.095836,0.104345,0.137015,calls/second,seconds
1523491035,90,0.001000,0.000160,0.000000,0.000367,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100589,0.095836,0.104357,0.137025,calls/second,seconds
1523491935,90,0.001000,0.000190,0.000000,0.000392,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100588,0.095836,0.104357,0.137025,calls/second,seconds
1523492835,90,0.001000,0.000222,0.000000,0.000416,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100592,0.095836,0.104357,0.137025,calls/second,seconds
1523493735,90,0.001000,0.000165,0.000000,0.000372,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100594,0.095836,0.104357,0.137025,calls/second,seconds
1523494635,90,0.001000,0.000398,0.000000,0.000489,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100592,0.095836,0.104341,0.137013,calls/second,seconds
1523495535,90,0.001000,0.000257,0.000000,0.000437,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100595,0.095836,0.104357,0.137025,calls/second,seconds
1523496435,89,0.001000,0.000270,0.000000,0.000444,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.099481,0.095836,0.104357,0.137025,calls/second,seconds
1523501835,70,0.002000,0.000204,0.000000,0.000412,0.000000,0.000000,0.001000,0.001000,0.001000,0.002000,0.100781,0.095837,0.109270,0.146304,calls/second,seconds
1523502735,90,0.002000,0.000303,0.000000,0.000459,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100612,0.095836,0.104357,0.137025,calls/second,seconds
1523503635,90,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100613,0.095836,0.104357,0.137025,calls/second,seconds
1523504535,90,0.001000,0.000129,0.000000,0.000335,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100613,0.095836,0.104341,0.137013,calls/second,seconds
1523505435,90,0.001000,0.000176,0.000000,0.000381,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100611,0.095836,0.104357,0.137025,calls/second,seconds
1523506335,90,0.002000,0.000041,0.000000,0.000198,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.100617,0.095836,0.104341,0.137013,calls/second,seconds
1523507235,90,0.001000,0.000176,0.000000,0.000380,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100618,0.095836,0.104357,0.137025,calls/second,seconds
1523508135,90,0.001000,0.000191,0.000000,0.000393,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100618,0.095836,0.104341,0.137013,calls/second,seconds
1523509035,90,0.002000,0.000271,0.000000,0.000444,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100621,0.095836,0.104357,0.137025,calls/second,seconds
1523509935,90,0.001000,0.000245,0.000000,0.000430,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100625,0.095836,0.104357,0.137025,calls/second,seconds
1523510835,90,0.001000,0.000079,0.000000,0.000269,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100625,0.095836,0.104357,0.137025,calls/second,seconds
1523511735,90,0.001000,0.000384,0.000000,0.000486,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.100626,0.095836,0.104357,0.137025,calls/second,seconds
1523512635,90,0.001000,0.000185,0.000000,0.000388,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100627,0.095836,0.104357,0.137025,calls/second,seconds
1523513535,90,0.001000,0.000134,0.000000,0.000341,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100631,0.095836,0.104357,0.137025,calls/second,seconds
1523514435,90,0.001000,0.000121,0.000000,0.000326,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.100631,0.095836,0.104357,0.137025,calls/second,seconds
1523516256,82,0.063000,0.000592,0.000000,0.000555,0.001000,0.001000,0.001000,0.001000,0.001000,0.004000,0.103942,0.104166,0.152763,0.394406,calls/second,seconds
